NodeName,index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7
Start,90,457.9,-71.201,226.751,0.0188747,0.868389,1.27119,488.74,-211.878,346.275,-32.9844,-2.20125,4.76304,0.0787645,-1.34366,-0.0168985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,91,457.897,-71.1965,226.755,0.0188577,0.868385,1.27121,488.741,-211.879,346.275,-32.4848,-2.43865,4.17596,0.0844189,-1.33834,-0.0354921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,92,457.891,-71.1973,226.761,0.0188375,0.868382,1.27123,488.741,-211.879,346.275,-32.0564,-2.84984,3.58747,0.090379,-1.36121,-0.0420833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,93,457.882,-71.1935,226.767,0.0188098,0.868388,1.27126,488.741,-211.879,346.274,-31.8408,-3.54859,3.34775,0.0927451,-1.40454,-0.0369088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,94,457.878,-71.1893,226.775,0.0187759,0.868377,1.2713,488.741,-211.879,346.274,-31.8169,-3.95748,3.37795,0.114576,-1.44462,-0.0306622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,95,457.87,-71.1825,226.783,0.0187425,0.868379,1.27135,488.742,-211.88,346.274,-31.7843,-4.38763,3.26623,0.128417,-1.4697,-0.0294952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEVEL1_15_11,96,457.87,-71.1825,226.783,0.0187425,0.868379,1.27135,488.742,-211.88,346.274,-31.7843,-4.38763,3.26623,0.128417,-1.4697,-0.0294952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEVEL1_15_11,97,457.858,-71.1689,226.799,0.0186856,0.86837,1.27142,488.742,-211.88,346.273,-31.1435,-4.87984,3.23382,0.128334,-1.46656,-0.0105858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEVEL1_15_11,98,457.851,-71.1606,226.807,0.0186666,0.868364,1.27145,488.743,-211.881,346.273,-30.7588,-4.93565,2.96013,0.127396,-1.44461,-0.0130459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEVEL1_15_11,99,457.846,-71.1554,226.813,0.0186486,0.868359,1.27147,488.743,-211.883,346.275,-30.3168,-5.07747,2.73386,0.128022,-1.42694,-0.0247764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEVEL1_15_11,100,457.844,-71.1484,226.82,0.0186352,0.868351,1.2715,488.744,-211.885,346.278,-30.0166,-5.05548,2.94775,0.143412,-1.41946,-0.0287006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
